;Bytes        |8080        |8085        |gbz80|r2k|r3k|z180|z80|z80n
00            |nop         |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
01 %m %m      |ld bc, %m   |~           |     |   |   |    |   |    
              |lxi b, %m   |            |     |   |   |    |   |    
              |lxi bc, %m  |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
02            |ld (bc), a  |~           |     |   |   |    |   |    
              |stax b      |            |     |   |   |    |   |    
              |stax bc     |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
02; 03        |ld (bc+), a |~           |     |   |   |    |   |    
              |ldi (bc), a |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
02; 0B        |ld (bc-), a |~           |     |   |   |    |   |    
              |ldd (bc), a |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
03            |inc bc      |~           |     |   |   |    |   |    
              |inx b       |            |     |   |   |    |   |    
              |inx bc      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
04            |inc b       |~           |     |   |   |    |   |    
              |inr b       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
05            |dcr b       |~           |     |   |   |    |   |    
              |dec b       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
06 %n         |ld b, %n    |~           |     |   |   |    |   |    
              |mvi b, %n   |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
07            |rlc         |~           |     |   |   |    |   |    
              |rlca        |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
08            |            |dsub        |     |   |   |    |   |    
              |            |sub hl, bc  |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
09            |add hl, bc  |~           |     |   |   |    |   |    
              |dad b       |            |     |   |   |    |   |    
              |dad bc      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
0A            |ld a, (bc)  |~           |     |   |   |    |   |    
              |ldax b      |            |     |   |   |    |   |    
              |ldax bc     |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
0A; 03        |ld a, (bc+) |~           |     |   |   |    |   |    
              |ldi a, (bc) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
0A; 0B        |ld a, (bc-) |~           |     |   |   |    |   |    
              |ldd a, (bc) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
0B            |dcx b       |~           |     |   |   |    |   |    
              |dcx bc      |            |     |   |   |    |   |    
              |dec bc      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
0C            |inc c       |~           |     |   |   |    |   |    
              |inr c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
0D            |dcr c       |~           |     |   |   |    |   |    
              |dec c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
0E %n         |ld c, %n    |~           |     |   |   |    |   |    
              |mvi c, %n   |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
0F            |rrc         |~           |     |   |   |    |   |    
              |rrca        |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
10            |            |arhl        |     |   |   |    |   |    
              |            |rrhl        |     |   |   |    |   |    
              |            |sra hl      |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
11 %m %m      |ld de, %m   |~           |     |   |   |    |   |    
              |lxi d, %m   |            |     |   |   |    |   |    
              |lxi de, %m  |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
12            |ld (de), a  |~           |     |   |   |    |   |    
              |stax d      |            |     |   |   |    |   |    
              |stax de     |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
12; 13        |ld (de+), a |~           |     |   |   |    |   |    
              |ldi (de), a |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
12; 1B        |ld (de-), a |~           |     |   |   |    |   |    
              |ldd (de), a |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
13            |inc de      |~           |     |   |   |    |   |    
              |inx d       |            |     |   |   |    |   |    
              |inx de      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
14            |inc d       |~           |     |   |   |    |   |    
              |inr d       |            |     |   |   |    |   |    
